index,album,artist,genre
10400315,Tales of the Unexpected,Frank Marino & Mahogany Rush,Pop/Rock
10400555,The Colour of My Dreams,B.G. The Prince of Rap,Pop/Rock
10401634,Friend of Mine,Kelly Price,R&B;
10401915,The Best of Jennifer Rush,Jennifer Rush,Pop/Rock
10402961,Donkey Sean Jr. (Mixed by P.F. Cuttin),Sean Price,Pop/Rock
10404240,Humanity,Prince Lincoln Thompson,Pop/Rock
10406586,Tongues of Fire,Adele Overton,Pop/Rock
10407253,ABBA,ABBA,Pop/Rock
10407783,Here,Idina Menzel,Vocal
10408147,Greatest Palace Music,"Bonnie ""Prince"" Billy",Pop/Rock
10409669,New Years Dub,Musique vs. U2,Pop/Rock
10411452,Western Music,Will Oldham,Pop/Rock
10411457,The Whitey on the Moon UK LP,Department of Eagles,Pop/Rock
10411460,Black/Rich Music,Will Oldham,Pop/Rock
10411468,Happy Child / Forest Time,"Bonnie ""Prince"" Billy",Pop/Rock
10411497,Hush Up!!!,Prince Buster,Pop/Rock
10412323,Double Trouble,Otis Rush,Blues
10412407,Black Dissimulation,"Bonnie ""Prince"" Billy",Pop/Rock
10412410,Let's Start a Family,"Bonnie ""Prince"" Billy",Pop/Rock
10414348,Let's Go Crazy,The Revolution,Pop/Rock
10416526,Boom! Shake the Room!,DJ Jazzy Jeff & The Fresh Prince,Rap
10417533,Credo,Jennifer Rush,Pop/Rock
10420370,Feedback,Rush,Pop/Rock
10421122,Lost In the Blues,Otis Rush,Blues
10421806,The String Quartet Tribute to R.E.M.,The Section Quartet,Pop/Rock
10422035,All the Best,Leo Sayer,Pop/Rock
10422421,Dragonfly: The Best Of...,Frank Marino & Mahogany Rush,Pop/Rock
10422680,The Slickness,Prince Po,Rap
10423093,Gett Off Remix EP,Prince & The New Power Generation,Rap
10423198,Strange Universe,Frank Marino & Mahogany Rush,Pop/Rock
10423199,Child of the Novelty,Frank Marino & Mahogany Rush,Pop/Rock
10425224,Men in Black,Will Smith,Rap
10426215,The Time Is Now,B.G. The Prince of Rap,Pop/Rock
10426216,The Power of Rhythm,B.G. The Prince of Rap,Rap
10433542,Screamin' and Cryin',Otis Rush,Blues
10436081,Beanie Sigel Public Enemy #1,DJ Green Lantern feat. Eminem,Blues
10436578,Aerosmith / Guns N' Roses,Aerosmith / Guns N’ Roses,Blues
10438566,Hole in the World,Eagles,Pop/Rock
10439270,Movin',Jennifer Rush,Pop/Rock
10444590,Ain't Enough Comin' In,Otis Rush,Blues
10444592,A Fool for You,Otis Rush,Pop/Rock
10444594,Cold Day in Hell,Otis Rush,Blues
10447511,Out of My Hands,Jennifer Rush,Pop/Rock
10449317,Eye of the Storm,Frank Marino & Mahogany Rush,Pop/Rock
10449320,What's Next,Frank Marino & Mahogany Rush,Pop/Rock
10449618,World Anthem,Frank Marino & Mahogany Rush,Pop/Rock
10452001,Janus,The Real ABBA Gold,Pop/Rock
10452016,Wat heb je gedaan Daan,Adele Bloemendaal,Pop/Rock
10452100,Portret,Adele Bloemendaal,Pop/Rock
10453120,Maxoom,Frank Marino & Mahogany Rush,Pop/Rock
10453182,The Blues Collection 19: I Can't Quit You Baby,Otis Rush,Pop/Rock
10453475,TURBO: A Power Rangers Movie,Shuki Levy & Haim Saban,Pop/Rock
10455542,How to Dismantle an Atomic Bomb,U2,Pop/Rock
10456461,Wings of Desire,Jennifer Rush,Pop/Rock
10465016,"The Work, Volume 1",Prince,Pop/Rock
10466087,Sexy MF,Prince,Pop/Rock
10466990,Dream of a Drunk Black Southern Eagle,"Bonnie ""Prince"" Billy",Pop/Rock
10467819,Encore,Eminem,Rap
10470330,The String Quartet Tribute to the Smiths,The Section Quartet,Pop/Rock
10473949,I Don’t Want to Miss a Thing,Aerosmith,Pop/Rock
10475907,Summertime,DJ Jazzy Jeff & The Fresh Prince,Rap
10475912,Boom! Shake the Room,DJ Jazzy Jeff & The Fresh Prince,Rap
10477469,Heavy Manners: Anthology 1977-83,Prince Far I,Reggae
